name,price
Big Mac,8.39
Chicken McNuggets,8.39
Quarter Pounder with Cheese,6.39
Iced Coffee,4.19
Egg McMuffin,4.29
Sausage Burrito,2.99
Big Mac Meal,9.29
Quarter Pounder with Cheese Meal,11.29
Quarter Pounder with Cheese Deluxe Meal,13.99
10 piece Chicken McNugget Meal,11.00
McCrispy,4.99
4 pc. Chicken McNuggets,3.19
Ketchup,0.4
Mustard,0.4
Fries,4.79
Happy Meal,5.99
Vanilla Cone,2.43
McFlurry with OREO,2.99
"Bacon, Egg & Cheese Biscuit",5.89
